Floor,Range,Beginning,Map,Text
2 East (Middle),51,LB5 .A45,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),52,LB775 .R374,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),53,LB1027.5 .M64,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),54,LB1028.5 .R427,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),55,LB1044.7 .I35,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),56,LB1051 .E358,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),57,LB1101 .C4 45,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),58,LB1140 .A1 .J6,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),59,LB1571 4TH .C17,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),60,LB1584 .T32,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),61,LB1715 .N34,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),62,LB2300 .I4 22,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),63,LB2331 .I45 1,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
